customer_id,first_name,last_name,email,registration_date,country
1,Danielle,Johnson,john21@example.net,2025-04-14,Mayotte
2,Christopher,Henderson,davisjesse@example.net,2023-11-09,Congo
3,Jennifer,Miles,lrobinson@example.com,2025-06-03,Albania
4,Katherine,Moore,jpeterson@example.org,2025-09-19,Guadeloupe
5,Curtis,James,melanie94@example.org,2025-04-06,Mauritania
6,David,Nielsen,arnoldmaria@example.net,2025-07-29,Guyana
7,Barbara,Bush,stanleykendra@example.org,2025-07-07,Tonga
8,Craig,Ramirez,francisco53@example.net,2024-05-03,Vietnam
9,Frances,Jones,amandasanchez@example.com,2024-07-24,Uzbekistan
10,Danielle,Hawkins,megan03@example.org,2025-05-31,Iran
11,Joseph,Clark,jason76@example.net,2024-09-20,Estonia
12,Donald,Mcgee,julie69@example.com,2024-07-11,Burundi
13,William,Davis,callahaneric@example.org,2025-05-22,Jamaica
14,Candace,Cruz,jrice@example.org,2025-03-01,Brazil
15,Erin,Herrera,kayla51@example.com,2024-09-02,Korea
16,Aaron,Bowen,teresa28@example.org,2025-07-18,French Southern Territories
17,Meagan,Romero,ericfarmer@example.net,2025-09-17,Uzbekistan
18,Alyssa,Smith,tracy15@example.com,2024-04-13,Dominican Republic
19,Natalie,Arroyo,dennislisa@example.net,2025-05-02,Brunei Darussalam
20,Donna,Arroyo,josephbrennan@example.com,2025-09-24,Vanuatu
21,Amber,Blair,jenniferross@example.net,2025-02-07,Kazakhstan
22,Rachel,Hayes,jeffreymorgan@example.net,2024-11-28,Namibia
23,Jeffrey,Jones,perezrebecca@example.com,2023-12-11,Dominica
24,Joshua,Washington,jenniferkhan@example.net,2024-09-30,Slovenia
25,Thomas,Russell,davisryan@example.com,2024-08-16,Tonga
26,Jessica,Nunez,brownjessica@example.org,2024-04-19,Comoros
27,Amanda,Taylor,joshuawright@example.org,2024-09-08,Tokelau
28,Melissa,Garcia,novaksara@example.org,2024-02-19,Libyan Arab Jamahiriya
29,Timothy,Hancock,martinaaron@example.com,2024-05-01,Slovenia
30,Kristen,Mitchell,smoore@example.org,2025-09-28,Mozambique
31,Jill,Brown,brian97@example.net,2025-08-23,Marshall Islands
32,Eric,Yu,yorkcasey@example.org,2025-02-25,Dominica
33,Richard,David,bethwilliams@example.org,2024-08-22,Myanmar
34,Annette,Stewart,james53@example.com,2024-08-05,Paraguay
35,Debbie,Bryant,smithchristine@example.net,2025-10-18,Barbados
36,Amanda,Wagner,sarahibarra@example.org,2024-07-17,Cayman Islands
37,Samuel,Daniels,cheryl80@example.net,2025-06-09,French Southern Territories
38,Sarah,Garcia,josephpreston@example.net,2024-11-28,Faroe Islands
39,Juan,Clark,james48@example.com,2024-04-21,United States of America
40,Meghan,Davis,ccalderon@example.org,2024-06-20,Bulgaria
41,Dana,Green,barnold@example.net,2023-10-28,Belarus
42,Sierra,Vazquez,amydavenport@example.net,2024-11-27,Jersey
43,David,Parker,nolanjason@example.org,2025-02-19,Guinea
44,Kimberly,Henson,vdickson@example.org,2025-08-27,Dominica
45,Michelle,Cherry,nicolejohnson@example.net,2025-08-26,Slovenia
46,Sarah,Pham,josephcobb@example.org,2024-07-26,Argentina
47,Michele,Walker,ybailey@example.org,2024-03-31,Palestinian Territory
